product,title,rating,body,sentiment
13th gen i9,"5.0 out of 5 stars
Great performance",5,Cool processor,1
13th gen i9,"3.0 out of 5 stars
It can be more efficient I guess",3,"It is working almost same as my 10 yr old DELL XPS laptop, swapped with a SATA SSD, and i7 second gen processor. I don't know whats improved. But it's doing its job I guess.. in my 2 weeks of usage I have seen it's temprature rised above 80°C once. Wasn't expecting that from current refined and powerful generations. I am using liquid cooling on top of this. And yet it hit 80°C. What I was doing when that happened was trying to open a game. And one thing that I missed was to disable the integrated graphics because I have dedicated GPU. It was just for a moment the CPU was used during the game launch and after it started using the GPU. But until that switch happened, under less than a minute of CPU usage, it reached to 80°c. I mean since these are premium products, there should be some protection layers blocking such usages, and close the programs instead rather than hitting its performance.But anyways, I disabled the integrated device and then it's all smooth. Everything normal except for that one instance explained above. Parallel processing is still shitty though with Windows OS. Same kind of processors on Mac before Apple silicon came in were working more efficiently. So I guess it's prob with windows OS, but not processors.",0
13th gen i9,"5.0 out of 5 stars
It's a beast nothing much to say",5,This processor is all-rounder for every tasks you do on PC from small to CPU intensive applications. If you are looking for vast performance with heavy production tasks this is very nice to have. Best to use with Motherboard DDR5 and PCI-E 5.0 supported motherboards.,1
13th gen i9,"5.0 out of 5 stars
Great product",5,Thanks 🙏,1
13th gen i9,"5.0 out of 5 stars
New Generation with Next Gen Power with 24 Cores and 32 Threads",5,"The Intel Core i9 13900K is an absolute powerhouse! Its blazing speeds and unrivaled performance have transformed my computing experience. Multitasking is a breeze, and demanding applications run seamlessly. The advanced technology and impressive efficiency make it a must-have for any tech enthusiast. Truly a 5-star gem!I recommend this CPU for 8K gaming and stream.",1
13th gen i9,"5.0 out of 5 stars
Nice processor",5,Nice processorGood performanceGood over clockingNice performanceTakes loadsGetting god fps in all games like gta5 etc,1
12th gen i7,"5.0 out of 5 stars
It was either used or displayed item.",5,We found the unit with dust on it. It was either used or displayed item. So far it works well. Hoping it will meet our expectations with its performance.,1
12th gen i9,"5.0 out of 5 stars
This processor is a beast 🔥",5,"I brought this processor for my gaming/workstation build .Combining this processor with nzxt 360 mm liquid cooling AIO , things went smoothly.It can handle literally all heavy tasks like 3d rendering , simulation , gaming , yet keeps temprature at 40c .Highly recommended for best gaming rigs .Note: 4th gen ssd is a plus for the build ... Otherwise there might be bottleneck with gen3 ssds while doing 3d rendering works .",1
12th gen i9,"5.0 out of 5 stars
Nothing can beat intel",5,Was using amd cpu untill now. Cpu died in 2 year only. Now back to intel. Dad of AMD .,1
12th gen i9,"1.0 out of 5 stars
Overpriced. Should be around 55-58 even with 18%GST.",1,Product is good Price is high wait for prices to go down dont buy overpriced products. It's gives seller more power over us.,0
13th gen i5,"5.0 out of 5 stars
Awesome product",5,Good condition and working properly,1
13th gen i7,"4.0 out of 5 stars
good",4,good,1
13th gen i7,"5.0 out of 5 stars
Nice",5,,1
13th gen i7,"5.0 out of 5 stars
Go for it..",5,This processor is absolutely incredible with no doubt’s… The only this you have to keep in mind that go for atleast 360 AIO for more better performance…,1
